attitude_police,treat,village
0,1,81
0,1,81
1,1,81
1,1,78
1,1,78
1,1,78
1,1,78
0,1,81
0,1,81
1,1,81
1,1,81
0,1,81
1,1,89
0,1,90
1,1,78
0,1,78
1,1,78
1,1,81
1,1,89
0,1,89
1,1,78
1,1,78
1,1,78
0,1,89
1,1,89
1,1,89
0,1,89
0,1,81
1,1,90
1,1,90
1,1,90
0,1,90
1,1,90
1,1,89
1,1,89
1,1,89
1,1,90
0,1,80
0,1,80
1,1,80
0,1,80
0,1,80
1,1,80
1,1,80
1,1,90
0,1,80
1,1,90
1,1,90
0,1,80
0,1,80
1,0,113
1,0,113
1,0,113
1,0,113
1,0,113
1,0,113
1,0,113
0,0,113
1,0,113
1,0,113
1,0,114
1,0,114
0,0,114
1,0,114
1,0,114
1,0,114
1,0,114
1,0,114
0,0,114
1,0,114
0,0,115
1,0,115
1,0,115
0,0,115
1,0,115
1,0,115
1,0,115
1,0,115
1,0,115
1,0,115
1,0,116
1,0,116
1,0,116
0,0,116
0,0,116
1,0,116
1,0,116
1,0,116
1,0,116
1,0,116
1,0,117
1,0,117
0,0,117
1,0,117
1,0,117
1,0,117
1,0,117
1,0,117
0,0,117
1,0,117
1,0,118
0,0,118
0,0,118
0,0,118
1,0,118
1,0,118
1,0,118
0,0,118
0,0,118
0,0,118
0,0,102
1,0,102
1,0,102
1,0,102
0,0,102
1,0,102
1,0,102
0,0,103
1,0,103
1,0,103
0,0,102
1,0,102
1,0,102
0,0,103
1,0,103
1,0,103
0,0,103
0,0,103
1,0,103
1,0,103
1,0,105
1,0,105
1,0,105
1,0,105
0,0,105
1,0,105
1,0,105
1,0,105
1,0,105
1,0,105
1,0,106
1,0,106
1,0,106
1,0,106
1,0,106
0,0,106
1,0,106
0,0,106
1,0,106
0,0,106
1,0,107
1,0,107
1,0,107
0,0,107
1,0,107
1,0,107
1,0,107
1,0,107
1,0,107
1,0,107
1,0,104
1,0,104
1,0,104
1,0,104
1,0,104
0,0,104
0,0,104
0,0,104
0,0,104
0,0,104
1,0,109
1,0,109
1,0,109
0,0,109
0,0,109
1,0,109
0,0,109
1,0,109
0,0,109
1,0,109
1,0,110
1,0,110
1,0,110
1,0,110
1,0,110
0,0,110
1,0,110
1,0,110
1,0,110
1,0,110
0,0,111
0,0,111
0,0,111
0,0,111
0,0,111
0,0,111
0,0,111
0,0,111
0,0,111
0,0,111
0,0,112
1,0,112
1,0,112
1,0,112
1,0,112
1,0,112
1,0,112
1,0,112
0,0,112
0,0,112
0,1,70
0,1,70
1,1,70
1,1,70
1,1,70
1,1,70
0,1,70
0,1,76
0,1,70
0,1,70
0,1,70
1,1,76
1,1,76
0,1,76
0,1,76
1,1,76
1,1,76
0,1,76
1,1,76
0,1,76
1,0,61
0,0,98
0,0,98
1,0,98
0,0,61
1,0,61
1,0,61
1,0,61
0,0,61
1,0,61
0,0,61
1,0,61
1,0,61
1,0,98
1,0,98
1,0,98
1,0,98
1,0,98
1,0,96
